,TP,TN,FP,FN,Class
118,1.0,2392.0,1.0,25.0,Bicycle
119,1.0,2392.0,1.0,25.0,Bicycle
120,0,2373.0,2,44.0,Biplane
121,1.0,2374.0,1.0,43.0,Biplane
122,1.0,2374.0,1.0,43.0,Biplane
123,1.0,2374.0,1.0,43.0,Biplane
124,0,2373.0,2,44.0,Biplane
125,0,2373.0,2,44.0,Biplane
126,0,2373.0,2,44.0,Biplane
127,1.0,2374.0,1.0,43.0,Biplane
128,1.0,2374.0,1.0,43.0,Biplane
129,0,2373.0,2,44.0,Biplane
130,0,2373.0,2,44.0,Biplane
131,1.0,2374.0,1.0,43.0,Biplane
132,0,2373.0,2,44.0,Biplane
133,0,2373.0,2,44.0,Biplane
134,1.0,2374.0,1.0,43.0,Biplane
135,0,2373.0,2,44.0,Biplane
136,1.0,2374.0,1.0,43.0,Biplane
137,1.0,2374.0,1.0,43.0,Biplane
138,1.0,2374.0,1.0,43.0,Biplane
139,1.0,2374.0,1.0,43.0,Biplane
140,0,2373.0,2,44.0,Biplane
141,1.0,2374.0,1.0,43.0,Biplane
142,1.0,2374.0,1.0,43.0,Biplane
143,0,2373.0,2,44.0,Biplane
144,1.0,2374.0,1.0,43.0,Biplane
145,1.0,2374.0,1.0,43.0,Biplane
146,1.0,2374.0,1.0,43.0,Biplane
147,0,2373.0,2,44.0,Biplane
148,1.0,2374.0,1.0,43.0,Biplane
149,1.0,2374.0,1.0,43.0,Biplane
150,0,2373.0,2,44.0,Biplane
151,1.0,2374.0,1.0,43.0,Biplane
152,0,2373.0,2,44.0,Biplane
153,1.0,2374.0,1.0,43.0,Biplane
154,1.0,2374.0,1.0,43.0,Biplane
155,0,2373.0,2,44.0,Biplane
156,0,2373.0,2,44.0,Biplane
157,1.0,2374.0,1.0,43.0,Biplane
158,0,2373.0,2,44.0,Biplane
159,1.0,2374.0,1.0,43.0,Biplane
160,1.0,2374.0,1.0,43.0,Biplane
161,0,2373.0,2,44.0,Biplane
162,1.0,2374.0,1.0,43.0,Biplane
163,0,2373.0,2,44.0,Biplane
164,1.0,2375.0,1.0,42.0,Bird
165,0,2374.0,2,43.0,Bird
166,0,2374.0,2,43.0,Bird
167,0,2374.0,2,43.0,Bird
168,0,2374.0,2,43.0,Bird
169,1.0,2375.0,1.0,42.0,Bird
170,0,2374.0,2,43.0,Bird
171,0,2374.0,2,43.0,Bird
172,1.0,2375.0,1.0,42.0,Bird
173,0,2374.0,2,43.0,Bird
174,0,2374.0,2,43.0,Bird
175,1.0,2375.0,1.0,42.0,Bird
176,0,2374.0,2,43.0,Bird
177,1.0,2375.0,1.0,42.0,Bird
178,1.0,2375.0,1.0,42.0,Bird
179,0,2374.0,2,43.0,Bird
180,1.0,2375.0,1.0,42.0,Bird
181,1.0,2375.0,1.0,42.0,Bird
182,1.0,2375.0,1.0,42.0,Bird
183,1.0,2375.0,1.0,42.0,Bird
184,0,2374.0,2,43.0,Bird
185,0,2374.0,2,43.0,Bird
186,0,2374.0,2,43.0,Bird
187,0,2374.0,2,43.0,Bird
188,0,2374.0,2,43.0,Bird
189,0,2374.0,2,43.0,Bird
190,1.0,2375.0,1.0,42.0,Bird
191,0,2374.0,2,43.0,Bird
192,0,2374.0,2,43.0,Bird
193,1.0,2375.0,1.0,42.0,Bird
194,1.0,2375.0,1.0,42.0,Bird
195,0,2374.0,2,43.0,Bird
196,1.0,2375.0,1.0,42.0,Bird
197,1.0,2375.0,1.0,42.0,Bird
198,1.0,2375.0,1.0,42.0,Bird
199,0,2374.0,2,43.0,Bird
200,0,2374.0,2,43.0,Bird
201,1.0,2375.0,1.0,42.0,Bird
202,1.0,2375.0,1.0,42.0,Bird
203,0,2374.0,2,43.0,Bird
204,0,2374.0,2,43.0,Bird
205,0,2374.0,2,43.0,Bird
206,0,2374.0,2,43.0,Bird
207,1.0,2400.0,1.0,17.0,Bookset
208,0,2399.0,2,18.0,Bookset
209,0,2399.0,2,18.0,Bookset
210,0,2399.0,2,18.0,Bookset
211,0,2399.0,2,18.0,Bookset
212,1.0,2400.0,1.0,17.0,Bookset
213,0,2399.0,2,18.0,Bookset
214,1.0,2400.0,1.0,17.0,Bookset
215,0,2399.0,2,18.0,Bookset
216,0,2399.0,2,18.0,Bookset
217,0,2399.0,2,18.0,Bookset
218,0,2399.0,2,18.0,Bookset
219,1.0,2400.0,1.0,17.0,Bookset
220,0,2399.0,2,18.0,Bookset
221,1.0,2400.0,1.0,17.0,Bookset
222,0,2399.0,2,18.0,Bookset
223,0,2399.0,2,18.0,Bookset
224,1.0,2400.0,1.0,17.0,Bookset
225,1.0,2389.0,1.0,28.0,Bottle
226,1.0,2389.0,1.0,28.0,Bottle
227,0,2388.0,2,29.0,Bottle
228,0,2388.0,2,29.0,Bottle
229,0,2388.0,2,29.0,Bottle
230,1.0,2389.0,1.0,28.0,Bottle
231,1.0,2389.0,1.0,28.0,Bottle
232,1.0,2389.0,1.0,28.0,Bottle
233,1.0,2389.0,1.0,28.0,Bottle
234,0,2388.0,2,29.0,Bottle
235,1.0,2389.0,1.0,28.0,Bottle
236,0,2388.0,2,29.0,Bottle
237,1.0,2389.0,1.0,28.0,Bottle
238,1.0,2389.0,1.0,28.0,Bottle
239,0,2388.0,2,29.0,Bottle
240,0,2388.0,2,29.0,Bottle
241,1.0,2389.0,1.0,28.0,Bottle
242,1.0,2389.0,1.0,28.0,Bottle
243,0,2388.0,2,29.0,Bottle
244,0,2388.0,2,29.0,Bottle
245,0,2388.0,2,29.0,Bottle
246,1.0,2389.0,1.0,28.0,Bottle
247,1.0,2389.0,1.0,28.0,Bottle
248,0,2388.0,2,29.0,Bottle
249,1.0,2389.0,1.0,28.0,Bottle
250,1.0,2389.0,1.0,28.0,Bottle
251,0,2388.0,2,29.0,Bottle
252,0,2388.0,2,29.0,Bottle
253,0,2388.0,2,29.0,Bottle
254,0,2374.0,2,43.0,BuildingNonResidential
255,0,2374.0,2,43.0,BuildingNonResidential
256,0,2374.0,2,43.0,BuildingNonResidential
257,0,2374.0,2,43.0,BuildingNonResidential
258,0,2374.0,2,43.0,BuildingNonResidential
259,0,2374.0,2,43.0,BuildingNonResidential
260,0,2374.0,2,43.0,BuildingNonResidential
261,0,2374.0,2,43.0,BuildingNonResidential
262,0,2374.0,2,43.0,BuildingNonResidential
263,0,2374.0,2,43.0,BuildingNonResidential
264,0,2374.0,2,43.0,BuildingNonResidential
265,1.0,2375.0,1.0,42.0,BuildingNonResidential
266,0,2374.0,2,43.0,BuildingNonResidential
267,0,2374.0,2,43.0,BuildingNonResidential
268,0,2374.0,2,43.0,BuildingNonResidential
269,1.0,2375.0,1.0,42.0,BuildingNonResidential
270,0,2374.0,2,43.0,BuildingNonResidential
271,0,2374.0,2,43.0,BuildingNonResidential
272,1.0,2375.0,1.0,42.0,BuildingNonResidential
273,0,2374.0,2,43.0,BuildingNonResidential
274,0,2374.0,2,43.0,BuildingNonResidential
275,0,2374.0,2,43.0,BuildingNonResidential
276,0,2374.0,2,43.0,BuildingNonResidential
